subject_id,image_path,image_url,grb_id,t_start,t_stop,label,label_id,raw_metadata,subject_set_id
95225861,data\zooniverse\images\95225861.png,https://panoptes-uploads.zooniverse.org/subject_location/89f658d8-8007-4499-80f9-c016d94cb514.png,GRB111228A,,,pulse,0,"{""#feedback_1_id"": ""21908"", ""BAT light curve"": ""https://swift.gsfc.nasa.gov/results/batgrbcat//GRB111228A/web/GRB111228A.html#lc"", ""#feedback_1_answer"": ""0"", ""#feedback_1_failureMessage"": ""Most of the counts in the red circle are above zero, and these counts are much higher than the noise fluctuations (ups-and-downs) shown in the white region. Also, the red circule is in the blue region where the computer determines where most of the burst emission is."", ""#feedback_1_successMessage"": ""You got it! This is a pulse. Most of the counts in the red circle are above zero, and these counts are much higher than the noise fluctuations (ups-and-downs) shown in the white region. Also, the red circule is in the blue region where the computer determines where most of the burst emission is.""}",
95225862,data\zooniverse\images\95225862.png,https://panoptes-uploads.zooniverse.org/subject_location/2c8e50bb-d0bd-42db-a92d-8ae6d0b778bf.png,GRB150711A,,,pulse,0,"{""#feedback_1_id"": ""21908"", ""BAT light curve"": ""https://swift.gsfc.nasa.gov/results/batgrbcat//GRB150711A/web/GRB150711A.html#lc"", ""#feedback_1_answer"": ""0"", ""#feedback_1_failureMessage"": ""Almost all the counts in the red circle are above zero, and these counts are much higher than the noise fluctuations (ups-and-downs) shown in the white region.. Also, the red circle is in the blue region where the computer determines where most of the burst emission is."", ""#feedback_1_successMessage"": ""You got it! This is a pulse. Almost all the counts in the red circle are above zero, and these counts are much higher than the noise fluctuations (ups-and-downs) shown in the white region.. Also, the red circle is in the blue region where the computer determines where most of the burst emission is.""}",
95225863,data\zooniverse\images\95225863.png,https://panoptes-uploads.zooniverse.org/subject_location/9dec14cc-466f-4561-93a6-30e92d57c36c.png,GRB151210A,,,pulse,0,"{""#feedback_1_id"": ""21908"", ""BAT light curve"": ""https://swift.gsfc.nasa.gov/results/batgrbcat//GRB151210A/web/GRB151210A.html#lc"", ""#feedback_1_answer"": ""0"", ""#feedback_1_failureMessage"": ""This is a pulse. Almost all the counts in the red circle are above zero, and these counts are much higher than the noise fluctuations (ups-and-downs) shown in the white region. Also, the red circle is in the blue region where the computer determines where most of the burst emission is"", ""#feedback_1_successMessage"": ""You got it! This is a pulse. Almost all the counts in the red circle are above zero, and these counts are much higher than the noise fluctuations (ups-and-downs) shown in the white region. Also, the red circle is in the blue region where the computer determines where most of the burst emission is.""}",
95225864,data\zooniverse\images\95225864.png,https://panoptes-uploads.zooniverse.org/subject_location/3ca3d243-408d-42da-ae55-226b9390bdb6.png,GRB170126A,,,pulse,0,"{""#feedback_1_id"": ""21908"", ""BAT light curve"": ""https://swift.gsfc.nasa.gov/results/batgrbcat//GRB170126A/web/GRB170126A.html#lc"", ""#feedback_1_answer"": ""0"", ""#feedback_1_failureMessage"": ""This is a pulse. All the counts in the red circles are well above zero, and these counts are much higher than the noise fluctuations (ups-and-downs) shown in the white region (the noise area determined by the computer). Also, the light curves are pretty smooth, indicating that there is not much noise."", ""#feedback_1_successMessage"": ""You got it! This is a pulse. All the counts in the red circles are well above zero, and these counts are much higher than the noise fluctuations (ups-and-downs) shown in the white region (the noise area determined by the computer). Also, the light curves are pretty smooth, indicating that there is not much noise.""}",
95225865,data\zooniverse\images\95225865.png,https://panoptes-uploads.zooniverse.org/subject_location/ec8e7f3d-8ecc-4a7e-bc91-23d3671548eb.png,GRB181126A,,,pulse,0,"{""#feedback_1_id"": ""21908"", ""BAT light curve"": ""https://swift.gsfc.nasa.gov/results/batgrbcat//GRB181126A/web/GRB181126A.html#lc"", ""#feedback_1_answer"": ""0"", ""#feedback_1_failureMessage"": ""This is a pulse. This is standard short pulse that lasts only for a couple seconds and the counts in the pulse are much higher than the rest of area around it."", ""#feedback_1_successMessage"": ""You got it! This is a pulse. This is standard short pulse that lasts only for a couple seconds and the counts in the pulse are much higher than the rest of area around it.""}",
95225866,data\zooniverse\images\95225866.png,https://panoptes-uploads.zooniverse.org/subject_location/57039958-361d-4390-9d59-9319e9eb72bf.png,GRB190106A,,,pulse,0,"{""#feedback_1_id"": ""21908"", ""BAT light curve"": ""https://swift.gsfc.nasa.gov/results/batgrbcat//GRB190106A/web/GRB190106A.html#lc"", ""#feedback_1_answer"": ""0"", ""#feedback_1_failureMessage"": ""This is a pulse. Despite some small noise fluctuations (ups-and-downs in counts), all the counts in the red circles are well above zero, and these counts are much higher than the noise fluctuations (ups-and-downs) shown in the white region. Thus, this is a pulse."", ""#feedback_1_successMessage"": ""You got it! This is a pulse. Despite some small noise fluctuations (ups-and-downs in counts), all the counts in the red circles are well above zero, and these counts are much higher than the noise fluctuations (ups-and-downs) shown in the white region. Thus, this is a pulse.""}",
95225867,data\zooniverse\images\95225867.png,https://panoptes-uploads.zooniverse.org/subject_location/b7f5aed7-1dc5-4fdf-802c-7d60598d3482.png,GRB190110A,,,noise,1,"{""#feedback_1_id"": ""21908"", ""BAT light curve"": ""https://swift.gsfc.nasa.gov/results/batgrbcat//GRB190110A/web/GRB190110A.html#lc"", ""#feedback_1_answer"": ""1"", ""#feedback_1_failureMessage"": ""This is likely noise. Despite some counts in the red circle are above zero, many counts in the red circle are also below zero. None of these counts in the red circle are much higher than the noise fluctuations (ups-and-downs) shown in the white region. Also, the red circle is outside of the blue region, indicating that the computer does not think this is a pulse."", ""#feedback_1_successMessage"": ""You got it! This is likely noise. Despite some counts in the red circle are above zero, many counts in the red circle are also below zero. None of these counts in the red circle are much higher than the noise fluctuations (ups-and-downs) shown in the white region. Also, the red circle is outside of the blue region, indicating that the computer does not think this is a pulse.""}",
95225868,data\zooniverse\images\95225868.png,https://panoptes-uploads.zooniverse.org/subject_location/05e86da1-ff3e-49d3-8279-56de7fdfbc9c.png,GRB190114B,,,unclear,2,"{""#feedback_1_id"": ""21908"", ""BAT light curve"": ""https://swift.gsfc.nasa.gov/results/batgrbcat//GRB190114B/web/GRB190114B.html#lc"", ""#feedback_1_answer"": ""2"", ""#feedback_1_failureMessage"": ""It is a bit hard to tell in this case. Although this is probably more likely to be a pulse, because most of the counts are above the zero line and it is in the blue region. However, the level of ups-and-downs in the red circle are similar to those on its right in the white region. Thus, we cannot be 100% sure that this is a pulse. Please use your best judgement in cases like this."", ""#feedback_1_successMessage"": ""Correct. It is a bit hard to tell in this case. Although this is likely to be a pulse, because most of the counts are above the zero line and it is in the blue region. However, the level of ups-and-downs in the red circle are similar to those on its right in the white region. Thus, we cannot be 100% sure that this is a pulse.  Please use your best judgement in cases like this.""}",
95225869,data\zooniverse\images\95225869.png,https://panoptes-uploads.zooniverse.org/subject_location/af4ca9da-3ac8-4096-9fde-c2ec013081cd.png,GRB190123A,,,unclear,2,"{""#feedback_1_id"": ""21908"", ""BAT light curve"": ""https://swift.gsfc.nasa.gov/results/batgrbcat//GRB190123A/web/GRB190123A.html#lc"", ""#feedback_1_answer"": ""2"", ""#feedback_1_failureMessage"": ""It is hard to tell in this case. Even though it is in the blue region, the larger counts in the red circle are only slightly higher than the noise fluctuation (ups-and-downs) in the white region, where the computer determines to be noise. Also, there are several ups-and-downs in the red circle with similar scales to those in the white region. Please use your best judgement in cases like this."", ""#feedback_1_successMessage"": ""Correct. It is hard to tell. Even though it is in the blue region, the larger counts in the red circle are only slightly higher than the noise fluctuation (ups-and-downs) in the white region, where the computer determines to be noise. Also, there are several ups-and-downs in the red circle with similar scales to those in the white region. Please use your best judgement in cases like this.""}",
95225870,data\zooniverse\images\95225870.png,https://panoptes-uploads.zooniverse.org/subject_location/9b60ade4-563c-4170-8698-dcd1703fccc3.png,GRB190324A,,,pulse,0,"{""#feedback_1_id"": ""21908"", ""BAT light curve"": ""https://swift.gsfc.nasa.gov/results/batgrbcat//GRB190324A/web/GRB190324A.html#lc"", ""#feedback_1_answer"": ""0"", ""#feedback_1_failureMessage"": ""This is a pulse. Even though this pulse in the red circle is much smaller than the big one in the figure, almost all the counts in the red circle are above zero, and those counts are in general much higher than the noise fluctuation (the ups-and-downs) in the white region, where computer determines to be noise."", ""#feedback_1_successMessage"": ""You got it! This is a pulse. Even though this pulse in the red circle is much smaller than the big one in the figure, almost all the counts in the red circle are above zero, and those counts are in general much higher than the noise fluctuation (the ups-and-downs) in the white region, where computer determines to be noise.""}",
